type,county,official_business_name,name,address,city,state,zip,lat,lng
"Distiller ""A-1""",Sullivan,Prohibition Distillery Llc,Prohibition Distillery ,10 Union St,Roscoe,NY,12776,41.93326914,-74.91368435
"Distiller ""A-1""",Albany,"Albany Distilling Company Inc, The","Albany Distilling Company , The",78 Montgomery St,Albany,NY,12207,42.65435984,-73.74728906
"Distiller ""A-1""",Erie,Eight Buffalo Spirits Llc,Lockhouse Distillery,41 Columbia St,Buffalo,NY,14204,42.87358,-78.87253
"Distiller ""A-1""",Wayne,Celk Distilling Llc,"Apple C'Ntry Spirits, Silverback Dist, Rootstock",3274 Eddy Rd,Williamson,NY,14589,0.0,0.0
"Distiller ""A-1""",Kings,New York Distilling Company Llc,New York Distilling,405 Leonard Street,Brooklyn,NY,11222,40.71855442,-73.94851072
"Distiller ""A-1""",Kings,Widow Jane Distilleries Llc,Widow Jane Distilleries ,216 218 Conover St,Brooklyn,NY,11231,40.67722296,-74.01534809
"Distiller ""A-1""",Tompkins,Six Mile Enterprises Llc,Six Mile Creek Vineyard,1551 Slaterville Rd,Ithaca,NY,14850,42.41575,-76.45534
"Distiller ""A-1""",Erie,Mainspring Llc,Lakeward Spirits,65 Vandalia St,Buffalo,NY,14204,42.86631,-78.86069
"Distiller ""A-1""",Kings,Industry City Distillery Inc,Industry City Distillery ,33 35Th St,Brooklyn,NY,11232,40.6571926,-74.00766451
"Distiller ""A-1""",Kings,Green Farms Ii Llc,Greenhook Ginsmiths,208 Dupont Street,Brooklyn,NY,11222,40.73614003,-73.95179085
"Distiller ""A-1""",Erie,Finan Distilling Company Llc,Tommyrotter Distillery,500 Seneca St,Buffalo,NY,14204,42.87766,-78.85712
"Distiller ""A-1""",Kings,Van Brunt Stillhouse Llc,Van Brunt Stillhouse ,6 Bay St 1St Fl,Brooklyn,NY,11231,40.67373651,-74.01005811
"Distiller ""A-1""",Westchester,Baron Nahmias Inc,Nahmias Et Fils,201 Saw Mill River Rd Bldg C,Yonkers,NY,10701,40.9451922,-73.88012116
"Distiller ""A-1""",Chautauqua,Robert Mazza Inc,Five & 20 Spirits,8398 W Rte 20,Westfield,NY,14787,42.30823259,-79.60389676
"Distiller ""A-1""",Kings,Standard Spirit Corporation,Standard Spirit Distillery,630 Flushing Ave,Brooklyn,NY,11206,40.69999322,-73.94828041
"Distiller ""A-1""",Chautauqua,Southern Tier Distilling Llc,Southern Tier Distilling Company,2051 A Stoneman Circle,Lakewood,NY,14750,42.08723516,-79.35331231
"Distiller ""A-1""",Westchester,"Food Cycle Distillery Llc, The",Neversink Spirits,33 New Broad St,Port Chester,NY,10573,41.000332,-73.66567783
"Distiller ""A-1""",Erie,Gilded Buffalo Llc,Gilded Buffalo ,55 Chicago St,Buffalo,NY,14204,42.86996,-78.86867
"Distiller ""A-1""",Albany,Oboys Distilling Llc,Oligan Distilling,918 Albany Shaker Rd,Latham,NY,12110,42.76024,-73.81470999999999
"Distiller ""A-1""",Schuyler,Finger Lakes Distilling Llc,Finger Lakes Distilling ,4676 Nys Route 414,Burdett,NY,14818,42.4602,-76.8636
"Distiller ""A-1""",Oswego,Lock 1 Distilling Company Llc,Lock 1 Distilling Company ,17 Culvert St,Phoenix,NY,13135,43.230579999999996,-76.30143000000001
"Distiller ""A-1""",Kings,Ben Franklin Distillery Llc,Ben Franklin Distillery ,5304 New Utrecht Ave,Brooklyn,NY,11219,40.63313,-73.99545
"Distiller ""A-1""",Orange,Warwick Valley Wine Co Inc,Warwick Valley Distillery,114 Little York Rd,Warwick,NY,10990,41.289770000000004,-74.44183000000001
"Distiller ""A-1""",Kings,Bitter Thieves Llc,Forthave Spirits,630 Flushing Ave,Brooklyn,NY,11206,40.699940000000005,-73.94827
"Distiller ""A-1""",Queens,Astoria Distilling Company Llc,Astoria Distilling Company,31-00 47Th Ave,Long Island City,NY,11101,40.74302,-73.93576999999999
"Distiller ""A-1""",Monroe,24Ligne Llc,Black Button Distilling,85 Railroad St,Rochester,NY,14609,43.16323,-77.58686
